#DMDensity EnergyDensity Pressure SIGCHIN SIGCHI2 DMmass 
0.198 1.88991e-20 3.13654e-16 0 55 0.19734
0.199 1.90905e-20 3.1683e-16 0 55 0.19734
0.2 1.92829e-20 3.20022e-16 0 55 0.19734
0.201 1.94762e-20 3.23231e-16 0 55 0.19734
0.202 1.96705e-20 3.26455e-16 0 55 0.19734
0.203 1.98657e-20 3.29695e-16 0 55 0.19734
0.204 2.00619e-20 3.32951e-16 0 55 0.19734
0.205 2.02591e-20 3.36224e-16 0 55 0.19734
0.206 2.04572e-20 3.39512e-16 0 55 0.19734
0.207 2.06563e-20 3.42816e-16 0 55 0.19734
0.208 2.08564e-20 3.46136e-16 0 55 0.19734
0.209 2.10574e-20 3.49473e-16 0 55 0.19734
0.21 2.12594e-20 3.52825e-16 0 55 0.19734
0.211 2.14623e-20 3.56193e-16 0 55 0.19734
0.212 2.16662e-20 3.59577e-16 0 55 0.19734
0.213 2.18711e-20 3.62978e-16 0 55 0.19734
0.214 2.2077e-20 3.66394e-16 0 55 0.19734
0.215 2.22838e-20 3.69826e-16 0 55 0.19734
0.216 2.24915e-20 3.73274e-16 0 55 0.19734
0.217 2.27003e-20 3.76738e-16 0 55 0.19734
0.218 2.291e-20 3.80219e-16 0 55 0.19734
0.219 2.31206e-20 3.83715e-16 0 55 0.19734
0.22 2.33323e-20 3.87227e-16 0 55 0.19734
0.221 2.35449e-20 3.90755e-16 0 55 0.19734
0.222 2.37584e-20 3.943e-16 0 55 0.19734
0.223 2.39729e-20 3.9786e-16 0 55 0.19734
0.224 2.41884e-20 4.01436e-16 0 55 0.19734
0.225 2.44049e-20 4.05028e-16 0 55 0.19734
0.226 2.46223e-20 4.08637e-16 0 55 0.19734
0.227 2.48407e-20 4.12261e-16 0 55 0.19734
0.228 2.506e-20 4.15901e-16 0 55 0.19734
0.229 2.52803e-20 4.19557e-16 0 55 0.19734
0.23 2.55016e-20 4.2323e-16 0 55 0.19734
0.231 2.57238e-20 4.26918e-16 0 55 0.19734
0.232 2.5947e-20 4.30622e-16 0 55 0.19734
0.233 2.61712e-20 4.34343e-16 0 55 0.19734
0.234 2.63963e-20 4.38079e-16 0 55 0.19734
0.235 2.66224e-20 4.41831e-16 0 55 0.19734
0.236 2.68495e-20 4.45599e-16 0 55 0.19734
0.237 2.70775e-20 4.49384e-16 0 55 0.19734
0.238 2.73065e-20 4.53184e-16 0 55 0.19734
0.239 2.75364e-20 4.57e-16 0 55 0.19734
0.24 2.77673e-20 4.60832e-16 0 55 0.19734
0.241 2.79992e-20 4.64681e-16 0 55 0.19734
0.242 2.8232e-20 4.68545e-16 0 55 0.19734
0.243 2.84659e-20 4.72425e-16 0 55 0.19734
0.244 2.87006e-20 4.76321e-16 0 55 0.19734
0.245 2.89364e-20 4.80234e-16 0 55 0.19734
0.246 2.91731e-20 4.84162e-16 0 55 0.19734
0.247 2.94107e-20 4.88106e-16 0 55 0.19734
0.248 2.96493e-20 4.92067e-16 0 55 0.19734
0.249 2.98889e-20 4.96043e-16 0 55 0.19734
0.25 3.01295e-20 5.00035e-16 0 55 0.19734
0.251 3.0371e-20 5.04043e-16 0 55 0.19734
0.252 3.06135e-20 5.08068e-16 0 55 0.19734
0.253 3.08569e-20 5.12108e-16 0 55 0.19734
0.254 3.11013e-20 5.16164e-16 0 55 0.19734
0.255 3.13467e-20 5.20237e-16 0 55 0.19734
0.256 3.15931e-20 5.24325e-16 0 55 0.19734
0.257 3.18404e-20 5.28429e-16 0 55 0.19734
0.258 3.20886e-20 5.32549e-16 0 55 0.19734
0.259 3.23379e-20 5.36686e-16 0 55 0.19734
0.26 3.2588e-20 5.40838e-16 0 55 0.19734
0.261 3.28392e-20 5.45006e-16 0 55 0.19734
0.262 3.30913e-20 5.49191e-16 0 55 0.19734
0.263 3.33444e-20 5.53391e-16 0 55 0.19734
0.264 3.35985e-20 5.57607e-16 0 55 0.19734
0.265 3.38535e-20 5.6184e-16 0 55 0.19734
0.266 3.41095e-20 5.66088e-16 0 55 0.19734
0.267 3.43664e-20 5.70352e-16 0 55 0.19734
0.268 3.46243e-20 5.74632e-16 0 55 0.19734
0.269 3.48832e-20 5.78929e-16 0 55 0.19734
0.27 3.5143e-20 5.83241e-16 0 55 0.19734
0.271 3.54038e-20 5.87569e-16 0 55 0.19734
0.272 3.56656e-20 5.91914e-16 0 55 0.19734
0.273 3.59283e-20 5.96274e-16 0 55 0.19734
0.274 3.6192e-20 6.0065e-16 0 55 0.19734
0.275 3.64567e-20 6.05043e-16 0 55 0.19734
0.276 3.67223e-20 6.09451e-16 0 55 0.19734
0.277 3.69889e-20 6.13875e-16 0 55 0.19734
0.278 3.72564e-20 6.18315e-16 0 55 0.19734
0.279 3.75249e-20 6.22772e-16 0 55 0.19734
0.28 3.77944e-20 6.27244e-16 0 55 0.19734
0.281 3.80649e-20 6.31732e-16 0 55 0.19734
0.282 3.83363e-20 6.36237e-16 0 55 0.19734
0.283 3.86086e-20 6.40757e-16 0 55 0.19734
0.284 3.8882e-20 6.45293e-16 0 55 0.19734
0.285 3.91563e-20 6.49846e-16 0 55 0.19734
0.286 3.94315e-20 6.54414e-16 0 55 0.19734
0.287 3.97078e-20 6.58998e-16 0 55 0.19734
0.288 3.9985e-20 6.63599e-16 0 55 0.19734
0.289 4.02631e-20 6.68215e-16 0 55 0.19734
0.29 4.05422e-20 6.72847e-16 0 55 0.19734
0.291 4.08223e-20 6.77496e-16 0 55 0.19734
0.292 4.11034e-20 6.8216e-16 0 55 0.19734
0.293 4.13854e-20 6.8684e-16 0 55 0.19734
0.294 4.16684e-20 6.91537e-16 0 55 0.19734
0.295 4.19523e-20 6.96249e-16 0 55 0.19734
0.296 4.22372e-20 7.00977e-16 0 55 0.19734
